District Name;Constituency Name;;Ward Name;Centre Code;Centre Name;Polling Station;Number Of Registred Voters;Null And Void;Total Number Voted;"LAZARUS
CHAKWERA (MCP)";"PETER  DOMINICO SINOSI DRIVER
KUWANI (MMD)";"ARTHUR PETER
MUTHARIKA (DPP)"
;;;;01066;Kanyenjere School;PS1;677;2;427;286;16;123
;;;;01067;Meru School;PS1;942;1;595;510;16;68
;;;;01068;Ntcherenje School;PS1;804;2;545;484;14;45
;;;;01069;Nachipanga-panga;PS1;487;1;247;161;7;78
;;;;01070;Miyombo School;PS1;408;2;263;216;15;30
;;;;01071;Ilema School;PS1;852;5;576;498;13;60
;;;;01072;Muselema School;PS1;830;7;572;482;12;71
;;;;01073;Tondola School;PS1;645;1;427;356;3;67
;;;;01074;Kadoli School;PS1;531;1;315;189;18;107
;;;;01075;Mung'ongo School;PS1;340;1;239;198;11;29
;;;;01076;Nkhamanga School;PS1;652;5;415;283;19;108
;;;;01149;Chaba School;PS1;613;1;312;177;15;119
;;;;01150;Chiparanje School;PS1;565;2;305;203;18;82
;;;Yamba;01077;Ifumbo School;PS1;808;4;615;560;7;44
;;;;01078;Chinunkha School;PS1;471;1;316;281;2;32
;;;;01079;Chitipa Model School;PS1;1,354;1;492;444;8;39
;;;;;;PS2;1,354;3;481;437;3;38
;;;;01080;Ipulukutu School;PS1;400;0;304;280;6;18
;;;;01081;Isyalikira School;PS1;1,617;0;534;483;2;49
;;;;;;PS2;1,617;0;542;493;2;47
;;;;01082;Kasinde School;PS1;527;0;305;230;11;64
;;;;01083;Mwakalomba School;PS1;248;1;157;141;0;15
;;;;01084;Ichinga School;PS1;665;2;469;422;7;38
;;;;01085;Katutula School;PS1;1,065;1;336;299;1;35
;;;;;;PS2;1,065;3;293;261;1;28
;;;;01086;Kawale School;PS1;1,585;2;492;432;2;56
;;;;;;PS2;1,585;1;453;381;10;61
;;;;;;PS3;1,585;0;102;85;1;16
;;;;01087;Msangano School;PS1;360;1;185;129;10;45
;;;;01088;Chitipa Community Hall;PS1;3,771;1;661;602;2;56
;;;;;;PS2;3,771;2;673;610;3;58
;;;;;;PS3;3,771;0;645;583;2;60
;;;;;;PS4;3,771;3;633;560;3;67
;;;;01089;Lwakwa School;PS1;815;1;458;336;15;106
;;;;01090;Chimwemwe School;PS1;875;2;568;461;7;98
;;;;01091;Lwambo School;PS1;671;2;346;276;6;62
;;;;01092;Ilanga School;PS1;657;2;407;355;9;41
;;;;01093;Muswero School;PS1;304;2;195;178;4;11
;;;;01094;Namuyemba School;PS1;830;2;463;425;6;30
;;;;01095;Chitipa CCAP School;PS1;2,938;0;664;599;2;63
;;;;;;PS2;2,938;1;689;618;6;64
;;;;;;PS3;2,938;1;659;582;4;72
;;;;01096;Yamba School;PS1;520;3;352;281;6;62
;;;;01097;Kakoma School;PS1;532;2;248;172;17;57
;;;;01098;Kaseye School;PS1;503;0;351;322;4;25
;;;;01099;Mbula School;PS1;307;4;216;191;5;16
;;;;01100;Zungwala School;PS1;201;0;143;92;5;46
;;;;01151;Naviziba school;PS1;390;1;279;236;8;34
;;;;01152;Nakachenja School;PS1;655;2;300;240;9;49
;;;;01153;Chiwale School;PS1;188;1;142;117;4;20
Karonga;Karonga North West;;Chilanga;02030;Ngerenge CDSS;PS1;1,396;3;352;309;5;35
;;;;;;PS2;1,396;4;352;284;8;56
;;;;02031;Kakoma School;PS1;1,591;0;424;341;8;75
;;;;;;PS2;1,591;8;431;348;5;70
;;;;02032;Nchobo School;PS1;1,353;4;346;279;2;61
;;;;;;PS2;1,353;3;370;296;5;66
;;;;02033;Malo School;PS1;1,367;7;411;347;9;48
;;;;;;PS2;1,367;5;415;347;6;57
;;;;02034;Kasisi School;PS1;1,047;2;260;203;11;44
;;;;;;PS2;1,047;2;293;221;9;61
;;;;02035;Nkhando School;PS1;827;6;527;407;5;109
;;;;02036;Filaule School;PS1;699;3;346;294;7;42
;;;;02037;Bwiliro School;PS1;947;3;591;563;6;19
;;;;02038;Kayuni School;PS1;885;2;439;398;15;24
;;;;02039;Lufilya School;PS1;312;2;178;144;5;27
;;;;02040;Silu School;PS1;849;3;608;550;15;40
;;;;02041;Mbande School;PS1;964;13;637;540;9;75
;;;;02042;Kasikizi School;PS1;906;4;517;458;1;54
;;;;02043;Bvungu School;PS1;272;0;131;117;3;11
;;;;02062;Kalowe School;PS1;500;3;233;196;9;25
;;;;02121;Nalutete School;PS1;199;2;93;44;0;47
;;;Rukuru;02044;Lusako School;PS1;1,689;2;559;482;8;67
;;;;;;PS2;1,689;3;550;469;8;70
;;;;02045;Kasoba School;PS1;1,360;3;430;376;7;44
;;;;;;PS2;1,360;3;460;410;16;31
;;;;02046;Chipake School;PS1;954;1;553;483;11;58
;;;;02047;Masoko School;PS1;1,033;6;659;589;12;52
;;;;;;PS2;1,033;0;41;38;2;1
;;;;02048;Chinsebe School;PS1;1,987;6;647;577;5;59
;;;;;;PS2;1,987;7;633;551;16;59
;;;;02049;Malungo School;PS1;2,140;3;458;405;6;44
;;;;;;PS2;2,140;5;440;388;9;38
;;;;;;PS3;2,140;4;430;370;5;51
;;;;02050;Lupaso School;PS1;1,463;12;467;408;9;38
;;;;;;PS2;1,463;9;487;429;7;42
;;;;02051;Bwiba School;PS1;1,538;3;540;488;7;42
;;;;;;PS2;1,538;1;547;502;11;33
;;;;02052;Karonga CDSS;PS1;2,853;2;631;554;3;72
;;;;;;PS2;2,853;4;636;559;7;66
;;;;;;PS3;2,853;1;650;586;4;59
;;;;02053;St Mary's School;PS1;3,790;0;697;624;0;73
;;;;;;PS2;3,790;4;662;583;5;70
;;;;;;PS3;3,790;4;688;610;3;71
;;;;;;PS4;3,790;2;678;584;6;86
;;;;02054;Ipyana School;PS1;2,383;0;516;468;5;43
;;;;;;PS2;2,383;0;538;489;1;48
;;;;;;PS3;2,383;2;521;468;5;46
;;;;02055;Malimbalimba School;PS1;651;4;382;315;6;57
;;;;02056;Old Hospital;PS1;2,291;2;473;426;1;44
;;;;;;PS2;2,291;4;487;429;2;52
;;;;;;PS3;2,291;1;515;460;0;54
;;;;;;PS4;2,291;0;218;196;0;22
;;;;02057;Baka Lutheran School;PS1;4,373;3;582;492;3;84
;;;;;;PS2;4,373;4;587;500;2;81
;;;;;;PS3;4,373;2;563;491;2;68
;;;;;;PS4;4,373;3;565;479;7;76
;;;;;;PS5;4,373;6;583;481;7;89
;;;;02058;Rukuru  School;PS1;891;0;589;511;11;67
;;;;02059;Lulindo School;PS1;2,578;1;601;531;3;66
;;;;;;PS2;2,578;5;636;561;1;69
;;;;;;PS3;2,578;5;625;561;2;57
;;;;02060;Maghemo Secondary School;PS1;4,421;2;629;577;0;50
;;;;;;PS2;4,421;1;631;573;2;55
;;;;;;PS3;4,421;7;638;574;5;52
;;;;;;PS4;4,421;1;627;570;3;53
;;;;;;PS5;4,421;3;678;606;3;66
;;;;02061;Nthola School;PS1;601;2;395;311;8;74
;;;;02063;Chilambilo School;PS1;712;4;557;499;10;44
;Karonga Central;;Lupembe;02064;Mwenilondo School;PS1;1,772;4;626;555;7;60
;;;;;;PS2;1,772;2;615;536;6;71
;;;;02065;Katili School;PS1;254;0;185;154;3;28
;;;;02066;Kabuyu School;PS1;145;0;99;97;1;1
;;;;02067;Tumbi School;PS1;358;0;241;188;3;50
;;;;02068;Lughali School;PS1;1,221;3;408;341;4;60
;;;;;;PS2;1,221;0;445;363;6;76
;;;;02069;Lupembe School;PS1;1,237;0;457;400;9;48
;;;;;;PS2;1,237;1;437;379;4;53
;;;;02070;Chazale School;PS1;224;2;148;109;6;31
;;;;02122;Lupembe CDSS;PS1;652;1;475;396;4;74
;;;;02123;St Mary Girls Sec School;PS1;1,017;0;329;282;11;36
;;;;;;PS2;1,017;4;325;287;4;30
;;;;02124;Mwenilondo CDSS;PS1;423;2;260;207;6;45
;;;Mlale;02071;Mphanya School;PS1;712;1;431;364;6;60
;;;;02072;Chibondo School;PS1;1,995;6;669;541;5;117
;;;;;;PS2;1,995;1;674;562;7;104
;;;;02073;Ndembwela School;PS1;577;3;414;357;6;48
;;;;02074;Mlale School;PS1;1,284;1;403;359;5;38
;;;;;;PS2;1,284;0;447;394;2;51
;;;;02075;Lemelo School;PS1;726;5;470;428;3;34
;;;;02076;Gumi School;PS1;783;1;490;440;6;43
;;;;02077;Kasimba School;PS1;697;3;121;113;2;3
;;;;;;PS2;697;1;362;320;1;40
;;;;02078;Ibundya School;PS1;462;2;287;274;2;9
;;;;02125;Bwaye Primary School;PS1;240;4;188;155;3;26
;;;;02126;Mphughu School;PS1;205;3;122;93;12;14
;Karonga Nyungwe;;Nyungwe;02079;Ngara School;PS1;1,845;2;543;442;6;93
;;;;;;PS2;1,845;0;551;430;2;119
;;;;02080;Matinkhula School;PS1;782;4;469;411;10;44
;;;;02081;Nyungwe School;PS1;2,258;1;494;443;5;45
;;;;;;PS2;2,258;2;475;412;3;58
;;;;;;PS3;2,258;4;475;415;4;52
;;;;02082;Ukanga School;PS1;763;1;429;383;5;40
;;;;02083;Phapa School;PS1;940;2;473;228;9;234
;;;;02084;Vuwa School;PS1;1,909;3;592;442;9;138
;;;;;;PS2;1,909;1;588;470;8;109
;;;;02085;Wovwe School;PS1;1,739;1;486;341;4;140
;;;;;;PS2;1,739;2;531;367;11;151
;;;;02086;Thabiro School;PS1;707;0;416;386;3;27
;;;;02096;Sabi School;PS1;578;1;338;219;19;99
;;;;02127;Pulumbwe School;PS1;834;4;412;334;6;68
;;;Zgeba;02087;Chihepusha School;PS1;1,551;2;454;391;11;50
;;;;;;PS2;1,551;3;443;383;10;47
;;;;02088;Ulaha School;PS1;828;1;425;301;8;115
;;;;02089;Tilora School;PS1;1,279;2;454;391;11;50
;;;;;;PS2;1,279;3;443;383;10;47
;;;;02090;Lushununu School;PS1;574;0;184;158;0;26
;;;;02091;Zgeba School;PS1;886;1;464;402;16;45
;;;;02092;Majaliro School;PS1;1,353;1;368;348;2;17
;;;;;;PS2;1,353;0;377;351;7;19
;;;;02093;Kasangamala School;PS1;779;1;348;272;4;71
;;;;02094;Chauteka School;PS1;945;1;445;397;14;33
;;;;02095;Thukutu School;PS1;460;0;310;297;1;12
;;;;02128;Matatula School;PS1;336;0;163;138;4;21
;Karonga North;;Songwe;02001;Ngisi  F.P. School;PS1;404;2;235;71;4;158
;;;;02002;Ngana F.P. School;PS1;687;6;328;215;7;100
;;;;02003;Kangindwa F.P. School;PS1;1,937;6;573;428;8;131
;;;;;;PS2;1,937;7;536;401;6;122
;;;;02004;Iponga School;PS1;1,392;3;349;218;7;121
;;;;;;PS2;1,392;2;360;206;3;149
;;;;02005;Ikwabo F.P. School;PS1;452;10;214;182;5;17
;;;;02006;Mapwa School;PS1;828;2;333;126;4;201
;;;;02007;Kalembo School;PS1;1,010;4;242;176;4;58
;;;;;;PS2;1,010;5;208;138;3;62
;;;;02008;Mayoka School;PS1;1,488;9;404;316;6;73
;;;;;;PS2;1,488;3;374;288;9;74
;;;;02009;Ndemange School;PS1;837;2;370;152;13;203
;;;;02010;Kakolya School;PS1;1,428;6;218;105;3;104
;;;;;;PS2;1,428;1;254;127;3;123
;;;;02011;Ighembe School;PS1;1,085;0;366;288;3;75
;;;;;;PS2;1,085;1;323;246;2;74
;;;;02012;Kabale School;PS1;840;1;458;394;8;55
;;;;02013;Nakatendo F.P. School;PS1;522;3;346;255;9;79
;;;;02014;Kasantha School;PS1;1,816;3;465;355;9;98
;;;;;;PS2;1,816;0;497;374;7;116
;;;;02015;Chisi School;PS1;394;2;194;137;21;34
;;;;02016;Chikutu School;PS1;702;8;488;400;23;57
;;;;02017;Kafulu School;PS1;1,536;2;447;304;12;129
;;;;;;PS2;1,536;0;393;258;13;122
;;;;02018;Iponga CDSS;PS1;304;1;159;111;2;45
;;;;02019;Lutengano School;PS1;802;3;459;218;12;226
;;;;02020;Muwisi School;PS1;327;0;103;68;4;31
;;;;02117;Chiwira School;PS1;151;1;75;48;0;26
;;;;02118;Ighamba School;PS1;147;0;83;71;1;11
;;;;02119;Changwina School;PS1;828;4;440;300;7;129
;;;Kaporo;02021;Ngaramu School;PS1;1,876;6;556;347;6;197
;;;;;;PS2;1,876;7;571;335;3;226
;;;;02022;Kibwe School;PS1;1,761;1;504;386;7;110
;;;;;;PS2;1,761;13;537;387;5;132
;;;;02023;Kaporo School;PS1;1,037;0;306;267;1;38
;;;;;;PS2;1,037;1;279;215;2;61
;;;;02024;Kaundi School;PS1;1,410;2;436;374;7;53
;;;;;;PS2;1,410;3;473;400;2;68
;;;;02025;Fwira School;PS1;1,592;5;410;322;8;75
;;;;;;PS2;1,592;1;387;304;9;73
;;;;02026;Mwenitete School;PS1;1,475;5;464;355;8;96
;;;;;;PS2;1,475;1;468;353;13;101
;;;;02027;Mwentende School;PS1;1,272;2;430;343;6;79
;;;;;;PS2;1,272;4;409;349;1;55
;;;;02028;Mwaulambo School;PS1;1,697;5;478;402;12;59
;;;;;;PS2;1,697;1;504;446;9;48
;;;;02029;Mayofya School;PS1;767;2;465;401;7;55
;;;;02120;Mbamba School;PS1;1,095;2;337;223;6;106
;;;;;;PS2;1,095;0;305;202;6;97
;Karonga South;;Khwawa;02097;Lwezga School;PS1;1,331;6;370;337;7;20
;;;;;;PS2;1,331;4;365;332;2;27
;;;;02098;Khwawa School;PS1;1,718;1;427;391;3;32
;;;;;;PS2;1,718;1;423;380;6;36
;;;;02099;Sangiro School;PS1;723;2;426;389;1;34
;;;;02100;Hara School;PS1;1,290;0;419;374;8;37
;;;;;;PS2;1,290;2;369;326;8;33
;;;;02101;Bundi School;PS1;1,155;0;286;217;2;67
;;;;;;PS2;1,155;1;274;206;10;57
;;;;02102;Sanambe School;PS1;439;5;272;242;7;18
;;;;02103;Chiduli School;PS1;708;2;408;348;2;56
;;;;02104;Chankholombe School;PS1;1,352;0;418;335;4;79
;;;;;;PS2;1,352;2;414;329;11;72
;;;;02113;Chonanga School;PS1;602;4;376;310;13;49
;;;;02129;Mtambwe School;PS1;487;0;189;171;3;15
;;;Uliwa;02105;Hangalawe School;PS1;1,130;0;402;303;3;96
;;;;;;PS2;1,130;1;397;316;3;77
;;;;02106;Uliwa School;PS1;3,214;0;516;448;6;62
;;;;;;PS2;3,214;2;530;459;2;67
;;;;;;PS3;3,214;0;537;464;8;65
;;;;;;PS4;3,214;0;561;483;5;73
;;;;02107;Chisumbu School;PS1;2,368;2;579;536;4;37
;;;;;;PS2;2,368;0;557;526;3;28
;;;;;;PS3;2,368;4;543;509;1;29
;;;;02108;Luromo School;PS1;883;0;632;522;4;106
;;;;02109;Vinthukutu School;PS1;1,137;1;405;373;2;29
;;;;;;PS2;1,137;1;416;374;7;34
;;;;02110;Lushombe School;PS1;650;4;461;405;10;42
;;;;02111;Thunduti School;PS1;666;1;461;360;2;98
;;;;02112;Fulirwa School;PS1;1,150;4;358;334;5;15
;;;;;;PS2;1,150;4;379;347;9;19
;;;;02114;Mazunguika School;PS1;757;0;490;427;4;59
;;;;02115;Ponda School;PS1;633;1;429;390;3;35
;;;;02116;Mabalani School;PS1;613;1;445;413;2;29
;;;;02130;Doloba Primary School;PS1;709;5;405;356;11;33
;;;;02131;Katambawanthu School;PS1;562;2;355;298;5;50
Rumphi;Rumphi East;;Mlowe - Tcharo;03001;Mlowe School;PS1;1,124;1;425;388;0;36
;;;;;;PS2;1,124;2;416;373;0;41
;;;;03002;Musuku School;PS1;240;0;136;120;4;12
;;;;03003;Zunga School;PS1;570;1;349;273;5;70
;;;;03004;Old Salawe School;PS1;266;0;160;118;3;39
;;;;03005;Tcharo School;PS1;272;0;143;109;3;31
;;;;03006;Mzuwo School;PS1;249;1;135;91;13;30
;;;;03007;Nkhombwa School;PS1;581;0;427;332;6;89
;;;;03088;Chipunga F P School;PS1;272;0;164;141;6;17
;;;;03089;Chisanga F P School;PS1;268;0;148;120;2;26
;;;;03090;Mfulu F P School;PS1;256;1;147;93;10;43
;;;;03091;Chankhama F P School;PS1;96;1;81;77;0;3
;;;Chitimba - Mchenga;03008;Thekero School;PS1;722;6;448;337;12;93
;;;;03009;Chiweta School;PS1;1,394;4;431;341;11;75
;;;;;;PS2;1,394;3;457;386;6;62
;;;;03010;Mchenga School;PS1;379;0;245;186;1;58
;;;;03011;Luwuchi School;PS1;714;1;480;415;4;60
;;;;03012;Chitimba School;PS1;1,357;5;465;400;5;55
;;;;;;PS2;1,357;3;479;403;9;64
;;;;03013;Jalawe School;PS1;997;7;660;561;9;83
;;;;03014;Zowo School;PS1;950;2;621;394;8;217
;;;;03015;Chihanga School;PS1;366;0;240;181;10;49
;;;;03016;Chombe School;PS1;435;5;241;218;4;14
;;;;03092;Kawerezi F P School;PS1;333;1;224;193;3;27
;Rumphi Central;;Chinyolo / Mphompha;03017;Mzokoto School;PS1;1,400;1;478;437;3;37
;;;;;;PS2;1,400;0;482;457;1;24
;;;;03018;Uzumara School;PS1;588;1;318;285;2;30
;;;;03019;Usowoya School;PS1;612;1;414;363;3;47
;;;;03020;Mkombezi School;PS1;1,626;5;545;493;2;45
;;;;;;PS2;1,626;2;554;504;2;46
;;;;03021;Mphompha School;PS1;800;3;542;489;3;47
;;;;03022;Mara School;PS1;473;0;329;270;8;51
;;;;03023;Kasenga School;PS1;622;2;373;341;4;26
;;;;03024;Bale School;PS1;757;2;475;428;2;43
;;;;03025;Jinthajembe School;PS1;292;0;199;183;1;15
;;;;03026;Lungazi School;PS1;463;1;250;221;2;26
;;;;03027;Mwale School;PS1;827;1;487;395;4;87
;;;;03028;Chinyolo School;PS1;1,231;0;421;379;3;39
;;;;;;PS2;1,231;1;434;387;7;39
;;;;03029;Kanyau School;PS1;260;7;199;185;3;4
;;;;03030;Chiwondola School;PS1;320;2;213;194;4;13
;;;;03093;Mulyezi F P School;PS1;410;0;259;244;1;14
;;;;03094;Mzungutwa F P School;PS1;332;1;222;215;1;5
;;;;03095;Bwang'ombe F P School;PS1;126;2;101;83;2;14
;;;;03096;Sasasa F P School;PS1;196;0;161;146;3;12
;;;;03097;Mzale F P School;PS1;290;2;202;186;2;12
;;;Mayembe;03031;St Denis School;PS1;2,051;2;458;429;2;25
;;;;;;PS2;2,051;2;464;429;5;28
;;;;;;PS3;2,051;4;467;427;0;36
;;;;03032;Chozoli School;PS1;1,099;2;388;349;5;32
;;;;;;PS2;1,099;1;377;331;6;39
